Condition,Metric,Texture,Unnamed: 0,Trial,Rating,Ratio,Mean ratio,Rank,SE
walking,slipperiness,10.0,122.33333333333333,2.0,1.7583333333333333,0.4138911514528144,0.41389115145281447,3.05,0.6119353474491962
walking,slipperiness,11.0,119.0,2.0,4.816666666666666,1.0976243307328817,1.097624330732882,9.475,1.0985475186474718
walking,slipperiness,12.0,124.0,2.0,2.933333333333333,0.6757745447267917,0.6757745447267917,5.6,0.6547194760749393
walking,slipperiness,13.0,118.33333333333333,2.0,3.566666666666667,0.8518717576924772,0.8518717576924772,7.45,0.49086261099955947
walking,slipperiness,14.0,115.22950819672131,1.9836065573770492,4.737704918032787,1.12458098222417,1.1245809822241697,10.450819672131148,0.5600035886945153
walking,slipperiness,15.0,123.33333333333333,2.0,4.883333333333334,1.1586392433504213,1.1586392433504213,9.775,0.509565909022335
walking,slipperiness,16.0,122.0,2.0,3.7291666666666665,0.8943458970005035,0.8943458970005035,8.0,0.7448350299685119
walking,stability,1.0,166.93333333333334,2.0,7.575,1.3270899005329821,1.3270899005329821,11.5,0.45773502691896256
walking,stability,2.0,165.3,2.0,5.866666666666666,0.9686668037386973,0.9686668037386973,8.05,0.6485560728090807
walking,stability,3.0,167.53333333333333,2.0,5.6625,0.9808969872455104,0.9808969872455104,8.35,0.5701674663662141
walking,stability,4.0,166.2,2.0,5.3375,0.8755572909459096,0.8755572909459095,6.9,0.5999789944764806
walking,stability,5.0,167.23333333333332,2.0,7.9375,1.3953853898553255,1.3953853898553255,13.325,0.6090707343712102
walking,stability,6.0,172.9,2.0,7.5,1.3136581356757737,1.3136581356757737,12.4,0.5342290445529903
walking,stability,7.0,171.33333333333334,2.0,4.383333333333334,0.791487459064576,0.791487459064576,5.525,0.5104947092391993
walking,stability,8.0,165.9,2.0,6.291666666666667,1.0866597756045657,1.086659775604566,8.525,0.8567146993875896
walking,stability,9.0,166.46666666666667,2.0,6.683333333333334,1.1674479742604793,1.1674479742604793,10.4,0.5606992183069488
walking,stability,10.0,171.93333333333334,2.0,7.395833333333333,1.3145994901300138,1.3145994901300138,12.775,0.4895023281434836
walking,stability,11.0,165.6,2.0,5.575,1.0523842593487271,1.0523842593487271,8.65,0.7041844913573865
walking,stability,12.0,166.5,2.0,7.216666666666667,1.2780222634787683,1.2780222634787683,11.9,0.42662513285063597
walking,stability,13.0,164.33333333333334,2.0,2.1666666666666665,0.3860026463060288,0.3860026463060288,2.5,0.40945938102251683
walking,stability,14.0,166.63333333333333,2.0,2.475,0.45424397600233046,0.45424397600233046,2.925,0.7111565055877759
walking,stability,15.0,165.9,2.0,4.4875,0.7733898331345036,0.7733898331345036,6.15,0.7060750530134602
walking,stability,16.0,169.3,2.0,4.929166666666666,0.8345078146758099,0.8345078146758099,6.125,0.7280750779212711
