,Metric,Condition,participant1,participant2,r
0,hardness,walking,PPT_003,PPT_011,0.6936958278606009
0,hardness,walking,PPT_003,PPT_012,0.7108616226519441
0,hardness,walking,PPT_003,PPT_013,0.8226609793264209
0,hardness,walking,PPT_003,PPT_014,0.7128102468920221
0,hardness,walking,PPT_003,PPT_015,0.7036581062838131
0,hardness,walking,PPT_003,PPT_016,0.6855508161053508
0,hardness,walking,PPT_003,PPT_017,0.8488573980566634
0,hardness,walking,PPT_003,PPT_018,0.592065868263473
0,hardness,walking,PPT_003,PPT_019,0.6446633721364508
0,hardness,walking,PPT_003,PPT_020,0.8448685579712027
0,hardness,walking,PPT_004,PPT_005,0.6642120765832106
0,hardness,walking,PPT_004,PPT_006,0.44215192550865795
0,hardness,walking,PPT_004,PPT_007,0.4807997346918206
0,hardness,walking,PPT_004,PPT_008,0.8129602356406479
0,hardness,walking,PPT_004,PPT_009,0.6338169227684891
0,hardness,walking,PPT_004,PPT_010,0.8628327969140389
0,hardness,walking,PPT_004,PPT_011,0.7794993729385805
0,hardness,walking,PPT_004,PPT_012,0.5772889159382047
0,hardness,walking,PPT_004,PPT_013,0.7095392130544778
0,hardness,walking,PPT_004,PPT_014,0.878230934787952
0,hardness,walking,PPT_004,PPT_015,0.6484518695229162
0,hardness,walking,PPT_004,PPT_016,0.7597982406458366
0,hardness,walking,PPT_004,PPT_017,0.5834589714386148
0,hardness,walking,PPT_004,PPT_018,0.7542938970990705
0,hardness,walking,PPT_004,PPT_019,0.8021128908590406
0,hardness,walking,PPT_004,PPT_020,0.7776141384388807
0,hardness,walking,PPT_005,PPT_006,0.7870304274054113
0,hardness,walking,PPT_005,PPT_007,0.8330907845351362
0,hardness,walking,PPT_005,PPT_008,0.8880706921944036
0,hardness,walking,PPT_005,PPT_009,0.8851197728486269
0,hardness,walking,PPT_005,PPT_010,0.8443961986893799
0,hardness,walking,PPT_005,PPT_011,0.8893814983575479
0,hardness,walking,PPT_005,PPT_012,0.8477305702515979
0,hardness,walking,PPT_005,PPT_013,0.9209227702769576
0,hardness,walking,PPT_005,PPT_014,0.8701128337100802
0,hardness,walking,PPT_005,PPT_015,0.9453512448625657
